City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
1,Ormara,PK,82.56,25.2088,64.6357,overcast clouds,Kenara Colony House for Rent
3,Uthal,PK,83.5,25.8072,66.6219,few clouds,Al-Mustafa Hotel
8,Lancaster,US,76.03,40.2504,-76.2499,clear sky,Refreshing Mountain Retreat and Adventure Center
17,Nishihara,JP,80.26,26.1842,127.7558,light rain,Minshuku Agaihama
23,Aden,YE,85.98,12.7794,45.0367,overcast clouds,Sama Emirate Hotel
25,Jamestown,US,76.71,42.097,-79.2353,clear sky,Hampton Inn & Suites Jamestown
26,Juneau,US,75.2,58.3019,-134.4197,few clouds,"Baranof Downtown, BW Signature Collection"
29,Hilo,US,82.13,19.7297,-155.09,overcast clouds,Hilo Hawaiian Hotel
30,Sola,VU,81.34,-13.8833,167.55,broken clouds,Leumerus Bungalows
31,Vaini,TO,80.76,-21.2,-175.2,scattered clouds,Keleti Beach Resort
32,Cayenne,GF,75.09,4.9333,-52.3333,clear sky,Hôtel Le Dronmi
37,Wakema,MM,82.38,16.6,95.1833,broken clouds,Aung Kaday Hotel
39,Dod Ballapur,IN,75.13,13.2919,77.5431,broken clouds,OYO 40115 J P Palace
41,Avarua,CK,80.65,-21.2078,-159.775,broken clouds,Paradise Inn
44,Akyab,MM,80.17,20.15,92.9,overcast clouds,Hotel Memory
52,Saint Anthony,US,77.95,45.0205,-93.218,scattered clouds,Holiday Inn Express Roseville-St. Paul
56,Kahului,US,84.22,20.8947,-156.47,scattered clouds,Maui Seaside Hotel
58,Butaritari,KI,82.78,3.0707,172.7902,light rain,Isles Sunset Lodge
59,Sinnamary,GF,77.68,5.3833,-52.95,overcast clouds,ALETHEIA Appartement Sinnamary
64,Honiara,SB,87.08,-9.4333,159.95,clear sky,Heritage Park Hotel
73,Ixtapa,MX,83.23,20.7,-105.2,overcast clouds,hotel la terminal
78,Atuona,PF,78.15,-9.8,-139.0333,clear sky,Villa Enata
87,Kapaa,US,82.38,22.0752,-159.319,light rain,Sheraton Kauai Coconut Beach Resort
90,Cockburn Town,TC,81.41,21.4612,-71.1419,overcast clouds,Osprey Beach Hotel
91,Laguna,US,88.32,38.421,-121.4238,clear sky,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
95,Fort-Shevchenko,KZ,76.12,44.5086,50.263,broken clouds,Oasis hotel Bautino
100,Ahuimanu,US,83.91,21.4447,-157.8378,scattered clouds,Paradise Bay Resort
101,Mechanicsville,US,80.87,37.6088,-77.3733,thunderstorm,Holiday Inn Express Richmond-Mechanicsville
102,Pandan,PH,86.18,14.0453,124.1694,scattered clouds,Bonifacio Lodge
