City_ID,City,Country,Lat,Lng,Max Temp,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,72.52,100,1.21,overcast clouds
1,Ormara,PK,25.2088,64.6357,82.56,100,9.75,overcast clouds
2,Iskateley,RU,67.6803,53.1512,54.5,100,12.26,light rain
3,Uthal,PK,25.8072,66.6219,83.5,22,8.93,few clouds
4,New Norfolk,AU,-42.7826,147.0587,49.91,100,2.77,overcast clouds
5,Mataura,NZ,-46.1927,168.8643,45.48,6,2.44,clear sky
6,Alice Springs,AU,-23.7,133.8833,60.35,0,0.0,clear sky
7,Havoysund,NO,70.9963,24.6622,39.43,100,10.87,overcast clouds
8,Lancaster,US,40.2504,-76.2499,76.03,0,8.99,clear sky
9,Busselton,AU,-33.65,115.3333,66.43,1,23.94,clear sky
10,Carnarvon,AU,-24.8667,113.6333,72.5,94,9.24,overcast clouds
11,Hay River,CA,60.8156,-115.7999,53.85,18,6.24,few clouds
12,Tommot,RU,58.9564,126.2925,68.41,99,4.41,light rain
13,Port Elizabeth,ZA,-33.918,25.5701,51.31,55,10.04,broken clouds
14,Barrow,US,71.2906,-156.7887,48.22,0,5.75,clear sky
15,Ribeira Grande,PT,38.5167,-28.7,67.08,0,3.09,clear sky
16,Ushuaia,AR,-54.8,-68.3,31.66,75,13.8,light snow
17,Nishihara,JP,26.1842,127.7558,80.26,75,16.11,light rain
18,Tuktoyaktuk,CA,69.4541,-133.0374,48.94,1,10.31,clear sky
19,Margate,GB,51.3813,1.3862,64.69,90,1.01,overcast clouds
20,Tshikapa,CD,-6.4167,20.8,69.48,5,2.24,clear sky
21,Yellowknife,CA,62.456,-114.3525,59.56,80,5.01,broken clouds
22,Koslan,RU,63.4564,48.8989,55.15,9,4.43,clear sky
23,Aden,YE,12.7794,45.0367,85.98,96,2.84,overcast clouds
24,Hermanus,ZA,-34.4187,19.2345,54.81,12,8.23,few clouds
25,Jamestown,US,42.097,-79.2353,76.71,0,8.01,clear sky
26,Juneau,US,58.3019,-134.4197,75.2,20,11.5,few clouds
27,Torbay,CA,47.6666,-52.7314,51.58,0,9.4,clear sky
28,Saint George,US,37.1041,-113.5841,104.63,0,20.71,clear sky
29,Hilo,US,19.7297,-155.09,82.13,100,9.22,overcast clouds
30,Sola,VU,-13.8833,167.55,81.34,74,16.67,broken clouds
31,Vaini,TO,-21.2,-175.2,80.76,40,11.5,scattered clouds
32,Cayenne,GF,4.9333,-52.3333,75.09,0,0.0,clear sky
33,Dikson,RU,73.5069,80.5464,32.34,100,8.95,overcast clouds
34,Te Anau,NZ,-45.4167,167.7167,45.72,10,0.72,clear sky
35,Albany,US,42.6001,-73.9662,68.41,100,9.35,overcast clouds
36,Walvis Bay,NA,-22.9575,14.5053,56.08,1,9.33,clear sky
37,Wakema,MM,16.6,95.1833,82.38,58,7.43,broken clouds
38,Reconquista,AR,-29.15,-59.65,60.15,100,6.4,overcast clouds
39,Dod Ballapur,IN,13.2919,77.5431,75.13,77,4.21,broken clouds
40,Khatanga,RU,71.9667,102.5,64.36,100,16.31,overcast clouds
41,Avarua,CK,-21.2078,-159.775,80.65,75,10.36,broken clouds
42,Chokurdakh,RU,70.6333,147.9167,48.45,85,12.17,overcast clouds
43,Nikolayevsk-Na-Amure,RU,53.1406,140.73,50.32,100,2.3,light rain
44,Akyab,MM,20.15,92.9,80.17,100,7.72,overcast clouds
45,Severo-Kurilsk,RU,50.6789,156.125,51.46,89,3.91,overcast clouds
46,Havre-Saint-Pierre,CA,50.2334,-63.5986,58.03,100,8.63,overcast clouds
47,Mehamn,NO,71.0357,27.8492,39.15,100,8.05,light intensity drizzle
48,Bluff,NZ,-46.6,168.3333,45.81,18,3.85,few clouds
49,Tilichiki,RU,60.4667,166.1,48.58,100,11.12,overcast clouds
50,Cidreira,BR,-30.1811,-50.2056,62.04,100,10.67,overcast clouds
51,Cape Town,ZA,-33.9258,18.4232,59.34,21,9.33,few clouds
52,Saint Anthony,US,45.0205,-93.218,77.95,40,14.97,scattered clouds
53,Hobart,AU,-42.8794,147.3294,49.26,0,8.05,light rain
54,Olinda,BR,-8.0089,-34.8553,73.13,75,8.05,broken clouds
55,Bethel,US,41.3712,-73.414,67.5,100,9.22,overcast clouds
56,Kahului,US,20.8947,-156.47,84.22,40,20.71,scattered clouds
57,Punta Arenas,CL,-53.15,-70.9167,32.11,48,17.56,scattered clouds
58,Butaritari,KI,3.0707,172.7902,82.78,14,14.27,light rain
59,Sinnamary,GF,5.3833,-52.95,77.68,100,4.7,overcast clouds
60,East London,ZA,-33.0153,27.9116,54.66,85,10.07,overcast clouds
61,Mangai,CD,-4.05,19.5333,69.44,86,0.85,overcast clouds
62,Slave Lake,CA,55.2834,-114.769,57.24,100,4.88,moderate rain
63,Tiksi,RU,71.6872,128.8694,34.25,18,7.67,few clouds
64,Honiara,SB,-9.4333,159.95,87.08,10,9.91,clear sky
65,Saint-Philippe,RE,-21.3585,55.7679,69.39,8,8.39,clear sky
66,Mugan,CN,35.9404,101.3842,66.42,7,1.99,clear sky
67,Souillac,MU,-20.5167,57.5167,66.58,20,1.14,few clouds
68,Longyearbyen,SJ,78.2186,15.6401,39.04,75,8.05,broken clouds
69,Haines Junction,CA,60.7522,-137.5108,72.16,96,4.32,overcast clouds
70,Touros,BR,-5.1989,-35.4608,73.49,52,9.66,broken clouds
71,Sao Felix Do Xingu,BR,-6.6447,-51.995,71.56,4,1.95,clear sky
72,Zhigansk,RU,66.7697,123.3711,53.64,0,20.56,clear sky
73,Ixtapa,MX,20.7,-105.2,83.23,100,5.75,overcast clouds
74,Sitka,US,57.0531,-135.33,71.24,21,5.61,few clouds
75,Qaanaaq,GL,77.484,-69.3632,33.12,15,2.73,few clouds
76,Bredasdorp,ZA,-34.5322,20.0403,50.92,91,5.26,overcast clouds
77,Dudinka,RU,69.4058,86.1778,54.63,100,10.94,light rain
78,Atuona,PF,-9.8,-139.0333,78.15,0,19.77,clear sky
79,Airai,TL,-8.9266,125.4092,67.26,18,4.47,few clouds
80,Ponta Do Sol,PT,32.6667,-17.1,68.72,19,4.12,few clouds
81,Saint-Pierre,RE,-21.3393,55.4781,69.48,0,8.05,clear sky
82,Livingston,GB,55.9029,-3.5226,63.12,0,8.05,clear sky
83,Cherskiy,RU,68.75,161.3,55.78,22,9.98,few clouds
84,Rocha,UY,-34.4833,-54.3333,52.92,100,4.36,light rain
85,Gwembe,ZM,-16.4975,27.6069,55.94,0,2.26,clear sky
86,Penzance,GB,50.1186,-5.5371,61.83,73,13.02,broken clouds
87,Kapaa,US,22.0752,-159.319,82.38,75,16.11,light rain
88,Ballina,AU,-28.8667,153.5667,68.02,2,6.82,clear sky
