City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Eureka,US,2022-06-06 00:24:15,40.8021,-124.1637,67.39,81,65,5.99
1,Saint-Philippe,RE,2022-06-06 00:25:33,-21.3585,55.7679,71.19,66,31,8.12
2,Tiznit,MA,2022-06-06 00:25:33,29.5833,-9.5,69.1,61,100,1.83
3,Borovoy,RU,2022-06-06 00:25:34,55.4333,86.0833,40.28,93,100,13.42
4,Salta,AR,2022-06-06 00:25:34,-24.7859,-65.4117,54.19,82,0,6.91
5,Asau,RO,2022-06-06 00:25:34,46.4333,26.4,58.95,94,97,3.47
6,East London,ZA,2022-06-06 00:25:35,-33.0153,27.9116,60.69,76,27,10.83
7,Bol,TD,2022-06-06 00:25:35,13.4586,14.7147,81.73,63,69,9.6
8,Lagoa,PT,2022-06-06 00:25:35,39.05,-27.9833,63.9,95,85,16.89
9,Hobart,AU,2022-06-06 00:25:36,-42.8794,147.3294,52.27,65,75,17.27
10,Auki,SB,2022-06-06 00:25:36,-8.7676,160.7034,82.85,71,95,5.82
11,Ribeira Grande,PT,2022-06-06 00:25:37,38.5167,-28.7,65.55,94,90,11.21
12,Mataura,NZ,2022-06-06 00:25:37,-46.1927,168.8643,53.47,68,1,3.33
13,Geraldton,AU,2022-06-06 00:25:38,-28.7667,114.6,52.21,62,1,17.27
14,Rikitea,PF,2022-06-06 00:25:38,-23.1203,-134.9692,73.53,79,39,18.54
15,Sao Filipe,CV,2022-06-06 00:25:39,14.8961,-24.4956,76.21,69,6,16.15
16,Nanortalik,GL,2022-06-06 00:25:39,60.1432,-45.2371,43.74,76,91,2.51
17,Jacareacanga,BR,2022-06-06 00:25:39,-6.2222,-57.7528,71.91,99,100,0.13
18,Marsabit,KE,2022-06-06 00:25:40,2.3284,37.9899,61.25,80,63,14.81
19,Punta Arenas,CL,2022-06-06 00:25:40,-53.15,-70.9167,46.51,57,75,13.8
20,Chuy,UY,2022-06-06 00:25:41,-33.6971,-53.4616,57.29,92,100,4.23
21,Makakilo City,US,2022-06-06 00:20:50,21.3469,-158.0858,86.32,53,0,13.8
22,Zhangye,CN,2022-06-06 00:25:41,38.9342,100.4517,70.11,25,100,11.48
23,Pevek,RU,2022-06-06 00:23:28,69.7008,170.3133,33.39,80,65,9.91
24,Victoria,HK,2022-06-06 00:25:40,22.2855,114.1577,85.24,86,98,10.0
25,San Francisco,US,2022-06-06 00:22:24,37.7749,-122.4194,81.03,81,75,17.0
26,Qaanaaq,GL,2022-06-06 00:25:42,77.484,-69.3632,29.82,77,0,2.13
27,Busselton,AU,2022-06-06 00:25:42,-33.65,115.3333,54.59,71,100,9.46
28,Longyearbyen,SJ,2022-06-06 00:25:43,78.2186,15.6401,42.64,93,75,8.05
29,Ushuaia,AR,2022-06-06 00:25:34,-54.8,-68.3,49.66,43,75,20.71
30,Carnarvon,AU,2022-06-06 00:25:43,-24.8667,113.6333,65.71,57,0,7.54
31,Bredasdorp,ZA,2022-06-06 00:25:44,-34.5322,20.0403,54.59,70,5,4.25
32,Yerbogachen,RU,2022-06-06 00:25:44,61.2767,108.0108,48.15,83,100,4.85
33,Avarua,CK,2022-06-06 00:25:44,-21.2078,-159.775,80.65,83,20,11.5
34,Clarence Town,AU,2022-06-06 00:25:45,-32.5833,151.7833,62.62,61,17,17.94
35,Bonthe,SL,2022-06-06 00:25:45,7.5264,-12.505,78.13,86,100,7.07
36,Te Anau,NZ,2022-06-06 00:25:46,-45.4167,167.7167,51.4,83,32,2.59
37,Methoni,GR,2022-06-06 00:25:46,36.8197,21.7049,75.22,68,2,5.44
38,Nikolskoye,RU,2022-06-06 00:25:47,59.7035,30.7861,53.8,83,97,5.73
39,Hermanus,ZA,2022-06-06 00:25:47,-34.4187,19.2345,54.81,52,9,7.11
40,Marawi,PH,2022-06-06 00:25:47,7.9986,124.2928,74.8,75,100,0.6
41,Karratha,AU,2022-06-06 00:25:48,-20.7377,116.8463,68.45,50,43,14.54
42,Husavik,IS,2022-06-06 00:25:48,66.0449,-17.3389,40.51,64,47,16.28
43,Kashirskoye,RU,2022-06-06 00:25:48,51.4194,39.6125,51.13,94,45,7.2
44,Dingle,PH,2022-06-06 00:25:49,10.9995,122.6711,80.8,80,100,1.25
45,Narsaq,GL,2022-06-06 00:25:49,60.9167,-46.05,53.82,60,96,5.46
46,Bluff,NZ,2022-06-06 00:25:50,-46.6,168.3333,53.8,74,9,8.39
47,Tasiilaq,GL,2022-06-06 00:26:50,65.6145,-37.6368,41.16,61,20,1.59
48,Vaini,TO,2022-06-06 00:26:50,-21.2,-175.2,80.76,74,20,5.75
49,Saldanha,ZA,2022-06-06 00:26:51,-33.0117,17.9442,53.65,38,2,7.74
50,Fortuna,US,2022-06-06 00:22:10,40.5982,-124.1573,67.12,64,0,10.36
51,Castro,BR,2022-06-06 00:26:51,-24.7911,-50.0119,54.7,90,80,3.18
52,Lavrentiya,RU,2022-06-06 00:26:52,65.5833,-171.0,41.97,63,76,4.12
53,New Norfolk,AU,2022-06-06 00:26:52,-42.7826,147.0587,51.93,83,94,5.99
54,Teya,RU,2022-06-06 00:26:52,60.3778,92.6267,45.48,68,100,1.16
55,Caravelas,BR,2022-06-06 00:26:53,-17.7125,-39.2481,69.22,80,66,8.52
56,Georgetown,MY,2022-06-06 00:26:35,5.4112,100.3354,80.53,93,20,2.3
57,Cherskiy,RU,2022-06-06 00:26:53,68.75,161.3,42.4,57,45,18.39
58,Belaya Gora,RU,2022-06-06 00:26:54,68.5333,146.4167,58.14,30,51,10.76
59,Vestmannaeyjar,IS,2022-06-06 00:26:54,63.4427,-20.2734,48.94,91,100,9.44
60,Marzuq,YE,2022-06-06 00:26:54,14.4,46.4667,75.18,54,29,5.06
61,Shingu,JP,2022-06-06 00:26:55,33.7333,135.9833,65.59,95,100,17.92
62,Inirida,CO,2022-06-06 00:26:56,3.8653,-67.9239,72.34,95,44,2.04
63,Ninghai,CN,2022-06-06 00:26:23,29.2892,121.4247,74.82,87,95,4.52
64,Cape Town,ZA,2022-06-06 00:26:57,-33.9258,18.4232,64.11,65,0,3.44
65,Hasaki,JP,2022-06-06 00:26:58,35.7333,140.8333,61.2,87,100,16.53
66,Provideniya,RU,2022-06-06 00:26:58,64.3833,-173.3,42.91,75,0,8.99
67,Vanavara,RU,2022-06-06 00:26:58,60.34,102.2797,50.31,57,28,2.46
68,Asheboro,US,2022-06-06 00:26:59,35.7079,-79.8136,75.22,59,0,0.0
69,Pisco,PE,2022-06-06 00:22:32,-13.7,-76.2167,65.01,82,58,14.97
70,Margate,GB,2022-06-06 00:26:59,51.3813,1.3862,52.7,92,100,3.0
71,Saint-Joseph,RE,2022-06-06 00:26:59,-21.3667,55.6167,70.18,65,41,6.85
72,Buritizeiro,BR,2022-06-06 00:27:00,-17.3511,-44.9622,66.42,52,34,3.31
73,Lebu,CL,2022-06-06 00:27:00,-37.6167,-73.65,51.24,89,100,3.98
74,Ostrovnoy,RU,2022-06-06 00:27:00,68.0531,39.5131,52.57,84,98,4.23
75,Jamestown,US,2022-06-06 00:22:40,42.097,-79.2353,64.02,43,100,1.01
76,Makasar,ID,2022-06-06 00:22:10,-5.14,119.4221,77.05,100,20,2.3
77,Saint George,US,2022-06-06 00:26:41,37.1041,-113.5841,96.64,14,0,13.8
78,La Baule-Escoublac,FR,2022-06-06 00:27:01,47.2922,-2.364,58.71,82,0,6.91
79,Deputatskiy,RU,2022-06-06 00:27:02,69.3,139.9,58.89,56,100,5.53
80,Klaksvik,FO,2022-06-06 00:27:02,62.2266,-6.589,50.92,89,96,9.89
81,Port Alfred,ZA,2022-06-06 00:27:03,-33.5906,26.891,56.17,89,14,14.67
82,Faanui,PF,2022-06-06 00:27:03,-16.4833,-151.75,79.74,77,54,14.7
83,Albany,US,2022-06-06 00:27:03,42.6001,-73.9662,68.41,49,11,4.99
84,Praia Da Vitoria,PT,2022-06-06 00:27:04,38.7333,-27.0667,66.45,94,40,10.31
85,Torbay,CA,2022-06-06 00:27:04,47.6666,-52.7314,49.28,73,75,11.5
86,Copiapo,CL,2022-06-06 00:27:05,-27.3667,-70.3333,53.29,66,95,0.69
87,Boyolangu,ID,2022-06-06 00:27:05,-8.1181,111.8935,76.32,89,94,1.16
